ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered%,Weight_in_gms,Reached.on.Time_Y.N,Final_Price,Delivery_Status,Product_Tier,Shipment_Date,Discount_Amount
7779,A,Ship,5,2,179,3,medium,M,5,4325,1,170.05,On Time,Medium,2023-07-05,8.95
4808,F,Flight,6,3,254,4,low,M,6,1335,0,238.76,Delayed,Low,2023-10-21,15.24
606,F,Ship,4,4,166,5,low,F,54,1203,1,76.36,On Time,Low,2023-11-18,89.64
953,C,Road,3,5,188,3,high,F,9,3206,1,171.08,On Time,High,2023-09-11,16.92
8171,C,Ship,3,3,179,2,low,M,5,5058,0,170.05,Delayed,Low,2023-05-18,8.95
5754,F,Flight,3,4,239,8,high,M,4,4192,0,229.44,Delayed,High,2023-11-29,9.56
4975,D,Ship,5,4,131,8,low,M,7,4471,0,121.83,Delayed,Low,2023-11-28,9.17
10590,F,Ship,3,2,167,2,low,M,3,4722,1,161.99,On Time,Low,2023-03-16,5.01
5461,D,Road,7,3,281,4,low,F,4,1480,0,269.76,Delayed,Low,2023-10-31,11.24
9692,F,Ship,6,5,275,4,low,M,2,1700,1,269.5,On Time,Low,2023-12-21,5.5
1711,D,Ship,4,1,227,3,low,M,54,3972,1,104.42,On Time,Low,2023-02-12,122.58
3473,C,Ship,5,4,134,3,medium,M,4,4908,0,128.64,Delayed,Medium,2023-02-17,5.36
8750,F,Road,4,2,133,3,medium,F,5,5950,0,126.35,Delayed,Medium,2023-04-10,6.65
3590,F,Ship,3,1,121,2,low,M,2,5210,1,118.58,On Time,Low,2023-06-15,2.42
10230,F,Ship,5,3,284,5,medium,F,4,5343,1,272.64,On Time,Medium,2023-02-03,11.36
6968,F,Road,4,1,169,4,low,M,1,5323,0,167.31,Delayed,Low,2023-12-27,1.69
657,A,Ship,3,1,111,4,low,M,61,1844,1,43.29,On Time,Low,2023-04-24,67.71
9958,B,Ship,7,4,282,4,low,M,6,1800,0,265.08,Delayed,Low,2023-06-03,16.92
9120,F,Ship,4,1,225,2,medium,M,5,5714,1,213.75,On Time,Medium,2023-09-01,11.25
4251,A,Flight,5,4,194,5,low,M,8,4038,1,178.48,On Time,Low,2023-08-25,15.52
1956,F,Ship,6,5,275,5,medium,M,51,3569,1,134.75,On Time,Medium,2023-11-24,140.25
10734,F,Ship,5,1,251,6,low,F,5,1827,0,238.45,Delayed,Low,2023-03-07,12.55
2573,C,Ship,2,1,282,5,low,F,51,1362,1,138.18,On Time,Low,2023-07-31,143.82
9209,C,Ship,3,3,255,3,low,M,4,4628,1,244.8,On Time,Low,2023-09-22,10.2
5340,F,Flight,5,1,162,3,medium,F,1,5537,0,160.38,Delayed,Medium,2023-12-16,1.62
8588,F,Ship,4,5,239,3,low,M,6,5154,1,224.66,On Time,Low,2023-09-24,14.34
3019,D,Flight,4,5,219,2,medium,F,21,3830,1,173.01,On Time,Medium,2023-05-10,45.99
9770,F,Ship,4,4,246,3,low,F,7,4090,0,228.78,Delayed,Low,2023-11-09,17.22
4734,F,Ship,3,5,265,3,medium,F,8,5980,0,243.8,Delayed,Medium,2023-10-01,21.2
1147,D,Ship,5,5,191,2,high,M,34,2708,1,126.06,On Time,High,2023-10-14,64.94
4657,D,Flight,3,1,185,3,medium,M,7,5474,1,172.05,On Time,Medium,2023-01-31,12.95
6239,C,Ship,4,4,268,4,low,M,5,5647,0,254.6,Delayed,Low,2023-01-12,13.4
7826,F,Flight,2,4,233,4,medium,F,4,5408,0,223.68,Delayed,Medium,2023-01-03,9.32
3872,F,Ship,4,2,265,4,medium,M,3,4283,1,257.05,On Time,Medium,2023-09-19,7.95
5210,F,Flight,4,5,263,3,medium,F,6,5445,0,247.22,Delayed,Medium,2023-06-02,15.78
8049,A,Ship,7,3,245,4,medium,F,10,1610,1,220.5,On Time,Medium,2023-06-13,24.5
9881,C,Flight,6,3,296,4,low,F,4,1650,0,284.16,Delayed,Low,2023-02-20,11.84
1410,F,Ship,4,5,258,2,high,M,5,3512,1,245.1,On Time,High,2023-02-25,12.9
9477,A,Ship,3,3,133,3,low,F,2,4926,0,130.34,Delayed,Low,2023-03-24,2.66
9798,F,Ship,4,4,223,3,high,F,5,5654,0,211.85,Delayed,High,2023-02-17,11.15
7835,C,Ship,4,3,234,3,medium,F,9,4868,1,212.94,On Time,Medium,2023-07-21,21.06
8727,A,Ship,3,4,254,3,high,M,4,5830,1,243.84,On Time,High,2023-03-27,10.16
3158,F,Flight,4,2,246,3,low,F,7,5616,0,228.78,Delayed,Low,2023-12-22,17.22
7084,B,Ship,5,1,198,4,low,F,5,5719,0,188.1,Delayed,Low,2023-04-03,9.9
604,B,Ship,3,1,162,2,low,F,52,1125,1,77.76,On Time,Low,2023-09-25,84.24
6908,F,Ship,6,4,297,4,low,F,9,1249,1,270.27,On Time,Low,2023-03-27,26.73
9371,C,Ship,4,3,262,3,low,F,3,4176,0,254.14,Delayed,Low,2023-06-21,7.86
10530,F,Road,3,2,235,2,medium,F,9,5116,0,213.85,Delayed,Medium,2023-10-18,21.15
2988,F,Road,6,3,281,5,medium,F,8,1864,1,258.52,On Time,Medium,2023-03-20,22.48
3080,F,Ship,3,1,188,2,low,F,14,2074,1,161.68,On Time,Low,2023-12-24,26.32
10985,C,Ship,5,1,257,5,medium,M,1,1102,1,254.43,On Time,Medium,2023-06-02,2.57
3409,D,Road,3,2,188,3,low,M,4,5376,0,180.48,Delayed,Low,2023-01-08,7.52
6077,C,Ship,3,4,188,4,low,F,6,5016,0,176.72,Delayed,Low,2023-01-31,11.28
9767,C,Ship,5,2,182,4,medium,F,9,5159,0,165.62,Delayed,Medium,2023-06-24,16.38
3041,C,Ship,3,2,149,3,medium,F,64,1920,1,53.64,On Time,Medium,2023-12-14,95.36
6927,A,Ship,5,4,274,5,low,M,7,1371,1,254.82,On Time,Low,2023-07-14,19.18
8378,F,Ship,3,3,212,2,low,M,2,5125,0,207.76,Delayed,Low,2023-06-25,4.24
5395,D,Ship,4,2,262,3,low,M,4,5085,0,251.52,Delayed,Low,2023-07-10,10.48
10867,D,Ship,4,3,185,2,low,M,3,5914,1,179.45,On Time,Low,2023-12-22,5.55
9591,A,Flight,4,4,137,4,medium,F,5,5095,0,130.15,Delayed,Medium,2023-04-20,6.85
5723,C,Ship,6,3,266,4,medium,M,8,1983,1,244.72,On Time,Medium,2023-10-07,21.28
6465,A,Ship,5,4,216,3,medium,F,2,5404,1,211.68,On Time,Medium,2023-01-05,4.32
9518,F,Ship,4,1,208,3,medium,F,8,4890,1,191.36,On Time,Medium,2023-09-16,16.64
6702,F,Road,4,1,272,4,high,M,1,5597,0,269.28,Delayed,High,2023-07-31,2.72
1119,A,Ship,3,2,171,3,medium,M,11,1282,1,152.19,On Time,Medium,2023-07-09,18.81
7591,D,Ship,4,2,274,3,medium,F,7,4477,1,254.82,On Time,Medium,2023-09-03,19.18
2777,C,Ship,3,3,192,7,high,F,36,3634,1,122.88,On Time,High,2023-02-16,69.12
7361,C,Ship,4,4,145,3,high,M,2,5665,0,142.1,Delayed,High,2023-10-05,2.9
45,A,Ship,3,1,151,2,low,M,29,1328,1,107.21,On Time,Low,2023-07-07,43.79
1695,A,Ship,3,1,180,2,low,M,26,1715,1,133.2,On Time,Low,2023-08-17,46.8
6428,F,Road,3,5,172,3,medium,M,1,5024,1,170.28,On Time,Medium,2023-03-24,1.72
9457,D,Flight,6,4,264,5,medium,F,7,1220,1,245.52,On Time,Medium,2023-08-16,18.48
32,F,Ship,5,3,257,2,low,F,61,3341,1,100.23,On Time,Low,2023-09-27,156.77
4234,B,Road,4,5,259,3,medium,M,3,4741,1,251.23,On Time,Medium,2023-08-27,7.77
5052,F,Road,3,1,149,3,medium,M,5,4805,1,141.55,On Time,Medium,2023-01-17,7.45
1093,D,Flight,4,4,200,3,low,M,19,2976,1,162,On Time,Low,2023-09-02,38
4091,C,Road,3,4,188,4,low,M,2,1059,1,184.24,On Time,Low,2023-02-12,3.76
6189,A,Ship,4,4,154,3,low,F,7,4106,1,143.22,On Time,Low,2023-01-12,10.78
10432,B,Ship,4,2,156,3,medium,M,5,4946,1,148.2,On Time,Medium,2023-03-07,7.8
6580,B,Flight,5,5,240,6,medium,F,9,1117,0,218.4,Delayed,Medium,2023-03-11,21.6
5156,F,Ship,4,3,138,2,medium,M,9,5297,1,125.58,On Time,Medium,2023-07-22,12.42
8945,C,Ship,4,5,201,3,low,F,1,5898,1,198.99,On Time,Low,2023-01-31,2.01
3139,D,Road,4,5,225,4,medium,M,5,4622,0,213.75,Delayed,Medium,2023-08-05,11.25
3144,F,Road,3,3,253,3,medium,M,7,5085,0,235.29,Delayed,Medium,2023-07-04,17.71
464,F,Ship,4,2,186,7,medium,F,40,3111,1,111.6,On Time,Medium,2023-05-08,74.4
7259,C,Flight,3,5,252,2,low,M,2,4888,1,246.96,On Time,Low,2023-02-23,5.04
1613,C,Ship,3,5,181,3,medium,M,22,3575,1,141.18,On Time,Medium,2023-08-22,39.82
9562,B,Ship,4,1,234,3,low,M,2,4282,0,229.32,Delayed,Low,2023-04-25,4.68
8901,A,Flight,7,2,284,4,low,F,1,1085,1,281.16,On Time,Low,2023-01-29,2.84
4282,B,Ship,4,2,224,3,medium,F,3,4511,0,217.28,Delayed,Medium,2023-07-13,6.72
964,B,Flight,4,5,158,5,medium,F,55,1936,1,71.1,On Time,Medium,2023-02-26,86.9
4874,F,Ship,4,4,225,2,medium,M,10,4829,1,202.5,On Time,Medium,2023-11-21,22.5
7334,F,Ship,3,4,158,2,medium,M,7,4744,0,146.94,Delayed,Medium,2023-01-16,11.06
8114,F,Ship,3,2,210,3,medium,M,8,4011,0,193.2,Delayed,Medium,2023-09-23,16.8
1582,B,Ship,5,1,167,2,low,M,62,1884,1,63.46,On Time,Low,2023-10-10,103.54
3759,A,Ship,6,3,231,4,low,F,7,4553,1,214.83,On Time,Low,2023-09-08,16.17
1826,F,Ship,4,5,268,3,low,M,17,3085,1,222.44,On Time,Low,2023-01-07,45.56
2438,F,Ship,4,5,206,3,low,F,65,2598,1,72.1,On Time,Low,2023-06-03,133.9
9617,C,Ship,4,1,272,2,low,M,1,5666,0,269.28,Delayed,Low,2023-01-26,2.72
4140,F,Ship,4,3,201,2,low,F,4,4955,1,192.96,On Time,Low,2023-01-17,8.04
1885,D,Ship,5,4,269,3,medium,F,51,3415,1,131.81,On Time,Medium,2023-08-06,137.19
2273,C,Ship,5,5,234,6,low,F,52,2615,1,112.32,On Time,Low,2023-09-07,121.68
10817,C,Road,3,3,176,3,medium,M,9,5575,0,160.16,Delayed,Medium,2023-08-06,15.84
9714,F,Road,4,2,247,5,low,M,10,1515,0,222.3,Delayed,Low,2023-03-03,24.7
